No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
1,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",16,*N/A,,,,,,Q4-2021
2,SHIP CONSTRUCTION TURNKEY,Carlow,"Carrigbrook, Tullow Road, Carlow",13,*N/A,,,,,,Q2-2021
3,SHIP CONSTRUCTION TURNKEY,Carlow,"Granville Court, Granby Row,Carlow",4,*N/A,,,,,,Q4-2021
4,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Ardattin, Co Carlow",6,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,
5,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Brownbog, Hackettstown",1,*N/A,,,,,Q1-2020,
6,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"St. Mary’s Court, Carlow",4,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
7,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Drumphea, Garryhill, Bagenalstown",1,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
8,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Constable Hill, Hackettstown",1,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
9,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Old Leighlin Road, Carlow",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
10,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"5 & 6 Staplestown Road, Carlow",2,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
11,SHIP CONSTRUCTION SINGLE STAGE,Carlow,"Bahana, Glynn",5,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
12,SHIP CONSTRUCTION RENEWAL,Carlow,"Barrack Street, Carlow",7,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,
13,SHIP CONSTRUCTION RENEWAL,Carlow,"2a Chapel Street, Graiguecullen, Carlow",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
14,SHIP CONSTRUCTION RENEWAL,Carlow,"24 Church Street, Graiguecullen, Carlow ",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
15,SHIP CONSTRUCTION RENEWAL,Carlow,"Breens Shop Units, Main Street, Borris, Co. Carlow",2,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
16,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",9,*N/A,,,,,,Q2-2021
17,SHIP CONSTRUCTION,Carlow,"Gleann na Bearu, Bagenalstown",6,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
18,SHIP CONSTRUCTION,Carlow,"41-42 Dublin Street & Cox's Lane, Carlow ",12,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
19,SHIP CONSTRUCTION,Carlow,"Gleann na Bearu, Bagenalstown",6,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
20,SHIP CONSTRUCTION,Carlow,"Gleann na Bearu, Bagenalstown",10,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
